target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
EARTH-CALIB,un60,325.1015007547,-23.17722956841,2,51329.9334874653,1000.0,136
EARTH-CALIB,un61,325.1014168797,-23.17765034899,2,51330.2695985764,14.0,137
EARTH-CALIB,un62,325.1014168797,-23.17765034899,2,51330.2709874653,14.0,138
EARTH-CALIB,un63,325.1014168797,-23.17765034899,2,51330.2730707986,1.2,139
EARTH-CALIB,un64,325.1014168797,-23.17765034899,2,51330.2744596875,1.2,140
EARTH-CALIB,un65,325.1014168797,-23.17765034899,2,51330.2765430208,0.35,141
EARTH-CALIB,un66,325.1014168797,-23.17765034899,2,51330.2779319097,0.35,142
EARTH-CALIB,un67,325.1014168797,-23.17765034899,2,51330.2800152431,3.0,143
EARTH-CALIB,un68,325.1014168797,-23.17765034899,2,51330.2814041319,3.0,144
EARTH-CALIB,un69,325.1015449946,-23.17771863594,2,51330.4709874653,14.0,145
EARTH-CALIB,un70,325.1015449946,-23.17771863594,2,51330.4723763542,14.0,147
EARTH-CALIB,un71,325.1015449946,-23.17771863594,2,51330.4744596875,1.2,148
EARTH-CALIB,un72,325.1015449946,-23.17771863594,2,51330.4758485764,1.2,149
EARTH-CALIB,un73,325.1015449946,-23.17771863594,2,51330.4779319097,0.35,150
EARTH-CALIB,un74,325.1015449946,-23.17771863594,2,51330.4793207986,0.35,151
EARTH-CALIB,un75,325.1015449946,-23.17771863594,2,51330.4814041319,3.0,152
EARTH-CALIB,un76,325.1015449946,-23.17771863594,2,51330.4827930208,3.0,153
EARTH-CALIB,un77,325.1015449946,-23.17771863594,2,51330.5383485764,14.0,154
EARTH-CALIB,un78,325.1015449946,-23.17771863594,2,51330.5397374653,14.0,155
EARTH-CALIB,un79,325.1015449946,-23.17771863594,2,51330.5418207986,1.2,156
EARTH-CALIB,un80,325.1015449946,-23.17771863594,2,51330.5432096875,1.2,158
EARTH-CALIB,un81,325.1015449946,-23.17771863594,2,51330.5452930208,0.35,159
EARTH-CALIB,un82,325.1015449946,-23.17771863594,2,51330.5466819097,0.35,160
EARTH-CALIB,un83,325.1015449946,-23.17771863594,2,51330.5487652431,3.0,161
EARTH-CALIB,un84,325.1015449946,-23.17771863594,2,51330.5501541319,3.0,162
EARTH-CALIB,un85,325.101631234,-23.17730540527,2,51330.0008485764,1000.0,163
EARTH-CALIB,un86,325.101631234,-23.17730540527,2,51330.0682096875,1000.0,164
EARTH-CALIB,un87,325.100235575,-23.17615440717,2,54254.934915544,0.7,165
EARTH-CALIB,un88,325.100235575,-23.17615440717,2,54254.8015822106,0.7,166
EARTH-CALIB,un89,325.100235575,-23.17615440717,2,54254.8682488773,0.7,167
