target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2506944097,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50752.2520022801,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50752.2534143171,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2550346875,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50752.2563309838,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50752.257615706,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2589814005,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50752.2603934838,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50752.2618401968,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2636457986,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50752.2650231134,112.95,2
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50752.2663309838,132.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2678702894,108.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50752.2691319097,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50752.2704165856,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2717823727,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.625,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50564.625,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50564.6289062153,119.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.6289062153,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50564.6289062153,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50564.6328125,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.6328125,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50564.6328125,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50564.6367187153,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.6367187153,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50564.6367187153,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50564.640625,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.640625,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50564.6445312153,112.95,2
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50564.6445312153,132.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.6445312153,108.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50564.6484375,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50564.6484375,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50564.6484375,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.6015625,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50569.6015625,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50569.6054687153,119.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.6054687153,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50569.6054687153,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50569.609375,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.609375,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50569.609375,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50569.6132812153,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.6132812153,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50569.6132812153,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50569.6171875,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.6171875,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50569.6210937153,112.95,2
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50569.6210937153,132.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.6210937153,108.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50569.625,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50569.625,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50569.625,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.787396794,146.89997456,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50932.7891096875,143.74996901,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50932.7907879977,118.89992275,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.7921797106,111.74993576,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50932.793487581,120.7499146,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50932.7948996181,138.74990183,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.7965199884,110.74992169,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50932.7978162847,109.74998872,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50932.7991010069,116.74992561,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.8004667824,120.74995546,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50932.8018787847,123.74991216,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50932.8033255787,154.74995524,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.8051310995,117.64993896,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50932.8065072917,111.74992067,2
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50932.8078151968,131.74990648,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.8093544792,107.74999328,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50932.810616088,109.74993529,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50932.8119008102,116.74998596,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.72114,1,50932.8132647801,120.89991441,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90154,22.72114,1,53305.4319684028,585.90001054,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90154,22.72114,1,53305.4387507755,113.90000205,11
NGC6853-3-REF,CALIBRATION-ASTROMETRIC,299.85517,22.71597,1,53305.4400702546,72.90000126,1
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90154,22.72114,1,53305.440915162,112.90000244,11
