target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
DARK,un242,279.0415000974,-23.73213120088,2,51724.5185616088,60.0,159
DARK,un243,279.0415000974,-23.73213120088,2,51724.5197653125,60.0,160
UNKNOWN,un1,274.141393668968,-18.7629394930197,2,60437.4325358565,1082.4,0
UNKNOWN,un2,274.141395932343,-18.762941074311,2,60437.432551412,1082.4,111
TUNGSTEN,un3,274.33067305,-18.66167026009,2,55030.7598970255,802.934753,166
TUNGSTEN,un4,274.33067305,-18.66167026009,2,55030.7695037037,902.935059,177
TUNGSTEN,un5,274.33067305,-18.66167026009,2,55030.7868414699,38.119781,188
TUNGSTEN,un6,274.33067305,-18.66167026009,2,55030.7876400116,82.93998,199
TUNGSTEN,un7,274.33067305,-18.66167026009,2,55030.7890636921,1102.935669,210
TUNGSTEN,un8,274.33067305,-18.66167026009,2,55030.8022003472,52.937096,221
TUNGSTEN,un9,274.33067305,-18.66167026009,2,55030.8031725694,43.98436,232
TUNGSTEN,un10,274.33067305,-18.66167026009,2,55030.8040173958,52.937096,1
BIAS,un11,274.1567153364,-18.28289699499,1,55372.3105694444,0.0,12
DARK,un12,274.1566235609,-18.2828653434,1,55372.3121553588,1040.0,23
DARK,un13,273.8985603069,-18.29687303198,3,55383.0487302083,1800.0,34
BIAS,un14,273.8985603069,-18.29687303198,3,55383.0563888542,0.0,45
BIAS,un15,273.8985603069,-18.29687303198,3,55383.0579166319,0.0,56
BIAS,un16,273.8985603069,-18.29687303198,3,55383.0587266204,0.0,67
BIAS,un17,273.8985603069,-18.29687303198,3,55383.0594444097,0.0,78
WR112,un18,274.1397083333,-18.97808333333,3,51226.98001535,1600.0,89
WR112,un19,274.1397083333,-18.97808333333,3,51226.9932098,700.0,100
WR112,un20,274.1397083333,-18.97808333333,3,51227.0064028,200.0,112
WR112,un21,274.1397083333,-18.97808333333,3,51226.98001535,700.0,123
BIAS,un22,274.268539869,-19.08860545709,1,57288.4819017708,0.0,134
DARK,un23,274.268539869,-19.08860545709,1,57288.4835451042,1000.5,145
DARK,un24,274.1627549904,-18.13146084711,3,55117.3760770023,5376.0,156
DARK,un25,274.1692226146,-18.12428062186,3,55117.37603009,5375.907958,161
DARK,un26,274.1797764164,-18.11472078995,3,55117.37605324,5375.815916,162
DARK,un27,280.880508885,-32.16667454802,3,55379.7862660069,2040.0,163
DARK-NM,un28,274.226016686,-19.0354297885,2,57288.4991767708,352.939514,164
